# t  cA_high  cB_high  cC_high  err_norm
12.7 3.56678e-06 3.96309e-07 0.999996 8.72366e-07
12.75 3.39491e-06 3.77213e-07 0.999996 8.33854e-07
12.8 3.23133e-06 3.59036e-07 0.999996 7.9703e-07
12.85 3.07562e-06 3.41736e-07 0.999997 7.6182e-07
12.9 2.92742e-06 3.25269e-07 0.999997 7.28155e-07
12.95 2.78636e-06 3.09596e-07 0.999997 6.95967e-07
13 2.6521e-06 2.94678e-07 0.999997 6.65192e-07
13.05 2.52431e-06 2.80479e-07 0.999997 6.35769e-07
13.1 2.40267e-06 2.66964e-07 0.999997 6.07638e-07
13.15 2.2869e-06 2.541e-07 0.999997 5.80743e-07
13.2 2.1767e-06 2.41856e-07 0.999998 5.55031e-07
13.25 2.07182e-06 2.30202e-07 0.999998 5.30449e-07
13.3 1.97199e-06 2.19109e-07 0.999998 5.06949e-07
13.35 1.87696e-06 2.08552e-07 0.999998 4.84484e-07
13.4 1.78652e-06 1.98502e-07 0.999998 4.63007e-07
13.45 1.70044e-06 1.88937e-07 0.999998 4.42476e-07
13.5 1.6185e-06 1.79833e-07 0.999998 4.2285e-07
13.55 1.54051e-06 1.71168e-07 0.999998 4.04089e-07
13.6 1.46628e-06 1.6292e-07 0.999998 3.86155e-07
13.65 1.39563e-06 1.5507e-07 0.999998 3.69012e-07
13.7 1.32838e-06 1.47598e-07 0.999999 3.52625e-07
13.75 1.26437e-06 1.40486e-07 0.999999 3.36961e-07
13.8 1.20345e-06 1.33716e-07 0.999999 3.21989e-07
13.85 1.14546e-06 1.27273e-07 0.999999 3.07679e-07
13.9 1.09026e-06 1.2114e-07 0.999999 2.94e-07
13.95 1.03773e-06 1.15303e-07 0.999999 2.80926e-07
14 9.87723e-07 1.09747e-07 0.999999 2.6843e-07
14.05 9.40129e-07 1.04459e-07 0.999999 2.56486e-07
14.1 8.94829e-07 9.94254e-08 0.999999 2.45071e-07
14.15 8.51711e-07 9.46345e-08 0.999999 2.34161e-07
14.2 8.10671e-07 9.00745e-08 0.999999 2.23734e-07
14.25 7.71608e-07 8.57342e-08 0.999999 2.13768e-07
14.3 7.34428e-07 8.16031e-08 0.999999 2.04244e-07
14.35 6.99039e-07 7.7671e-08 0.999999 1.95142e-07
14.4 6.65355e-07 7.39284e-08 0.999999 1.86443e-07
14.45 6.33295e-07 7.03661e-08 0.999999 1.7813e-07
14.5 6.02779e-07 6.69754e-08 0.999999 1.70185e-07
14.55 5.73734e-07 6.37482e-08 0.999999 1.62593e-07
14.6 5.46088e-07 6.06764e-08 0.999999 1.55338e-07
14.65 5.19774e-07 5.77527e-08 0.999999 1.48405e-07
14.7 4.94729e-07 5.49699e-08 0.999999 1.41779e-07
14.75 4.7089e-07 5.23211e-08 0.999999 1.35448e-07
14.8 4.482e-07 4.98e-08 1 1.29398e-07
14.85 4.26603e-07 4.74003e-08 1 1.23617e-07
14.9 4.06047e-07 4.51163e-08 1 1.18093e-07
14.95 3.86481e-07 4.29424e-08 1 1.12814e-07
15 3.67858e-07 4.08732e-08 1 1.0777e-07
15.05 3.50133e-07 3.89037e-08 1 1.02951e-07
15.1 3.33262e-07 3.70291e-08 1 9.83455e-08
15.15 3.17203e-07 3.52448e-08 1 9.39454e-08
15.2 3.01919e-07 3.35465e-08 1 8.97412e-08
15.25 2.8737e-07 3.19301e-08 1 8.57242e-08
